1, Phan Thanh Nam, 12/05/1995, 0868047932, Nam, 21/11/2019, VIP, 122000.0
2, Trần Quốc Đạt, 21/03/1998, 0999675525, Nam, 09/02/2021, VIP, 320000.0
3, Bùi Văn Lợi, 18/06/1980, 0908182118, Nam, 21/11/2021, VIP, 51000.0
4, Lê Huỳnh Tố Uyên, 03/01/1999, 037776775, Nữ, 07/03/2020, VIP, 87000.0
5, Nguyễn Văn Lợi, 14/10/1990, 0908382118, Nam, 01/12/2021, VIP, 57000.0
6, Đỗ Văn Nghĩa, 05/09/2002, 0808182118, Nam, 17/03/2020, VIP, 127000.0
7, Trần Thị Hiếu Ngọc, 01/03/2002, 0908112113, Nữ, 01/05/2021, VIP, 157500.0
8, Hoàng Ngọc Bình, 24/02/2001, 0908775554, Nam, 17/08/2019, VIP, 87300.0
9, Lê Anh Tuấn, 09/10/2001, 0908182118, Nam, 05/08/2021, VIP, 151000.0
10, Phan Thị Mỹ Tâm, 26/07/2002, 037776775, Nữ, 07/03/2020, VIP, 59100.0
11, Nguyễn Hoàng Yến Nhi, 08/12/2002, 0967182229, Nữ, 12/03/2021, VIP, 84500.0
